strain, s11, s22, s33, q, p, e
-0.0318, -932489, -307879, -307879, -624609, -516082, 0.67
-0.0319, -932028, -307516, -307516, -624512, -515686, 0.67
-0.032, -931569, -307155, -307155, -624415, -515293, 0.67
-0.0321, -931113, -306796, -306796, -624317, -514902, 0.67
-0.0322, -930659, -306440, -306440, -624219, -514513, 0.67
-0.0323, -930208, -306087, -306087, -624121, -514127, 0.67
-0.0324, -929758, -305736, -305736, -624022, -513743, 0.67
-0.0325, -929311, -305388, -305388, -623923, -513362, 0.67
-0.0326, -928866, -305042, -305042, -623824, -512983, 0.67
-0.0327, -928423, -304698, -304698, -623725, -512607, 0.67
-0.0328, -927982, -304357, -304357, -623625, -512232, 0.67
-0.0329, -927544, -304019, -304019, -623525, -511861, 0.67
-0.033, -927107, -303683, -303683, -623425, -511491, 0.67
-0.0331, -926673, -303349, -303349, -623324, -511124, 0.67
-0.0332, -926241, -303017, -303017, -623224, -510759, 0.67
-0.0333, -925811, -302688, -302688, -623123, -510396, 0.67
-0.0334, -925383, -302361, -302361, -623022, -510035, 0.67
-0.0335, -924957, -302037, -302037, -622920, -509677, 0.67
-0.0336, -924533, -301715, -301715, -622818, -509321, 0.67
-0.0337, -924111, -301395, -301395, -622717, -508967, 0.67
-0.0338, -923691, -301077, -301077, -622615, -508615, 0.67
-0.0339, -923273, -300761, -300761, -622512, -508265, 0.67
-0.034, -922858, -300448, -300448, -622410, -507918, 0.67
-0.0341, -922444, -300136, -300136, -622307, -507572, 0.67
-0.0342, -922032, -299827, -299827, -622204, -507229, 0.67
-0.0343, -921622, -299520, -299520, -622101, -506887, 0.67
-0.0344, -921213, -299215, -299215, -621998, -506548, 0.67
-0.0345, -920807, -298913, -298913, -621895, -506211, 0.67
-0.0346, -920403, -298612, -298612, -621791, -505876, 0.67
-0.0347, -920000, -298313, -298313, -621687, -505542, 0.67
-0.0348, -919600, -298016, -298016, -621583, -505211, 0.67
-0.0349, -919201, -297722, -297722, -621479, -504882, 0.67
-0.035, -918804, -297429, -297429, -621375, -504554, 0.67
-0.0351, -918409, -297139, -297139, -621271, -504229, 0.67
-0.0352, -918016, -296850, -296850, -621166, -503905, 0.67
-0.0353, -917624, -296563, -296563, -621061, -503584, 0.67
-0.0354, -917235, -296278, -296278, -620957, -503264, 0.67
-0.0355, -916847, -295995, -295995, -620852, -502946, 0.67
-0.0356, -916461, -295714, -295714, -620746, -502630, 0.67
-0.0357, -916076, -295435, -295435, -620641, -502316, 0.67
-0.0358, -915694, -295158, -295158, -620536, -502003, 0.67
-0.0359, -915313, -294882, -294882, -620430, -501692, 0.67
-0.036, -914933, -294609, -294609, -620325, -501384, 0.67
-0.0361, -914556, -294337, -294337, -620219, -501077, 0.67
-0.0362, -914180, -294067, -294067, -620113, -500771, 0.67
-0.0363, -913806, -293799, -293799, -620007, -500468, 0.67
-0.0364, -913433, -293532, -293532, -619901, -500166, 0.67
-0.0365, -913062, -293268, -293268, -619795, -499866, 0.67
-0.0366, -912693, -293005, -293005, -619688, -499567, 0.67
-0.0367, -912325, -292743, -292743, -619582, -499271, 0.67
-0.0368, -911959, -292484, -292484, -619475, -498976, 0.67
-0.0369, -911595, -292226, -292226, -619369, -498682, 0.67
-0.037, -911232, -291970, -291970, -619262, -498391, 0.67
-0.0371, -910871, -291715, -291715, -619155, -498101, 0.67
-0.0372, -910511, -291463, -291463, -619048, -497812, 0.67
-0.0373, -910153, -291211, -291211, -618941, -497525, 0.67
-0.0374, -909796, -290962, -290962, -618834, -497240, 0.67
-0.0375, -909441, -290714, -290714, -618727, -496956, 0.67
-0.0376, -909087, -290468, -290468, -618620, -496674, 0.67
-0.0377, -908735, -290223, -290223, -618513, -496394, 0.67
-0.0378, -908385, -289979, -289979, -618405, -496115, 0.67
-0.0379, -908036, -289738, -289738, -618298, -495837, 0.67
-0.038, -907688, -289498, -289498, -618190, -495561, 0.67
-0.0381, -907342, -289259, -289259, -618083, -495287, 0.67
-0.0382, -906997, -289022, -289022, -617975, -495014, 0.67
-0.0383, -906654, -288786, -288786, -617867, -494742, 0.67
-0.0384, -906312, -288552, -288552, -617760, -494472, 0.67
-0.0385, -905971, -288320, -288320, -617652, -494204, 0.67
-0.0386, -905632, -288088, -288088, -617544, -493936, 0.67
-0.0387, -905295, -287859, -287859, -617436, -493671, 0.67
-0.0388, -904958, -287631, -287631, -617328, -493407, 0.67
-0.0389, -904624, -287404, -287404, -617220, -493144, 0.67
-0.039, -904290, -287178, -287178, -617112, -492882, 0.67
-0.0391, -903958, -286954, -286954, -617004, -492622, 0.67
-0.0392, -903627, -286732, -286732, -616896, -492364, 0.67
-0.0393, -903298, -286510, -286510, -616787, -492106, 0.67
-0.0394, -902970, -286291, -286291, -616679, -491850, 0.67
-0.0395, -902643, -286072, -286072, -616571, -491596, 0.67
-0.0396, -902317, -285855, -285855, -616463, -491342, 0.67
-0.0397, -901993, -285639, -285639, -616354, -491090, 0.67
-0.0398, -901670, -285425, -285425, -616246, -490840, 0.67
-0.0399, -901349, -285211, -285211, -616137, -490591, 0.67
-0.04, -901028, -284999, -284999, -616029, -490342, 0.67
-0.0401, -900709, -284789, -284789, -615921, -490096, 0.67
-0.0402, -900392, -284580, -284580, -615812, -489850, 0.67
-0.0403, -900075, -284372, -284372, -615703, -489606, 0.67
-0.0404, -899760, -284165, -284165, -615595, -489363, 0.67
-0.0405, -899446, -283959, -283959, -615486, -489121, 0.67
-0.0406, -899133, -283755, -283755, -615378, -488881, 0.67
-0.0407, -898821, -283552, -283552, -615269, -488642, 0.67
-0.0408, -898511, -283350, -283350, -615161, -488404, 0.67
-0.0409, -898201, -283149, -283149, -615052, -488167, 0.67
-0.041, -897893, -282950, -282950, -614943, -487931, 0.67
-0.0411, -897587, -282752, -282752, -614835, -487697, 0.67
-0.0412, -897281, -282555, -282555, -614726, -487463, 0.67
-0.0413, -896976, -282359, -282359, -614617, -487231, 0.67
-0.0414, -896673, -282164, -282164, -614509, -487000, 0.67
-0.0415, -896371, -281971, -281971, -614400, -486771, 0.67
-0.0416, -896070, -281778, -281778, -614291, -486542, 0.67
-0.0417, -895770, -281587, -281587, -614183, -486315, 0.67
-0.0418, -895471, -281397, -281397, -614074, -486088, 0.67
-0.0419, -895173, -281208, -281208, -613965, -485863, 0.67
-0.042, -894876, -281020, -281020, -613856, -485639, 0.67
-0.0421, -894581, -280833, -280833, -613748, -485416, 0.67
-0.0422, -894286, -280647, -280647, -613639, -485194, 0.67
-0.0423, -893993, -280463, -280463, -613530, -484973, 0.67
-0.0424, -893701, -280279, -280279, -613422, -484753, 0.67
-0.0425, -893409, -280097, -280097, -613313, -484534, 0.67
-0.0426, -893119, -279915, -279915, -613204, -484316, 0.67
-0.0427, -892830, -279735, -279735, -613096, -484100, 0.67
-0.0428, -892542, -279555, -279555, -612987, -483884, 0.67
-0.0429, -892255, -279377, -279377, -612878, -483670, 0.67
-0.043, -891969, -279200, -279200, -612770, -483456, 0.67
-0.0431, -891684, -279023, -279023, -612661, -483244, 0.67
-0.0432, -891400, -278848, -278848, -612552, -483032, 0.67
-0.0433, -891117, -278674, -278674, -612444, -482821, 0.67
-0.0434, -890835, -278500, -278500, -612335, -482612, 0.67
-0.0435, -890554, -278328, -278328, -612226, -482403, 0.67
-0.0436, -890274, -278156, -278156, -612118, -482196, 0.67
-0.0437, -889995, -277986, -277986, -612009, -481989, 0.67
-0.0438, -889717, -277817, -277817, -611901, -481784, 0.67
-0.0439, -889440, -277648, -277648, -611792, -481579, 0.67
-0.044, -889164, -277481, -277481, -611684, -481375, 0.67
-0.0441, -888889, -277314, -277314, -611575, -481172, 0.67
-0.0442, -888615, -277148, -277148, -611467, -480970, 0.67
-0.0443, -888342, -276983, -276983, -611358, -480770, 0.67
-0.0444, -888069, -276820, -276820, -611250, -480570, 0.67
-0.0445, -887798, -276657, -276657, -611141, -480370, 0.67
-0.0446, -887528, -276495, -276495, -611033, -480172, 0.67
-0.0447, -887258, -276333, -276333, -610925, -479975, 0.67
-0.0448, -886990, -276173, -276173, -610816, -479779, 0.67
-0.0449, -886722, -276014, -276014, -610708, -479583, 0.67
-0.045, -886455, -275855, -275855, -610600, -479389, 0.67
-0.0451, -886189, -275698, -275698, -610491, -479195, 0.67
-0.0452, -885924, -275541, -275541, -610383, -479002, 0.67
-0.0453, -885660, -275385, -275385, -610275, -478810, 0.67
-0.0454, -885397, -275230, -275230, -610167, -478619, 0.67
-0.0455, -885134, -275075, -275075, -610059, -478428, 0.67
-0.0456, -884873, -274922, -274922, -609951, -478239, 0.67
-0.0457, -884612, -274769, -274769, -609843, -478050, 0.67
-0.0458, -884352, -274618, -274618, -609734, -477862, 0.67
-0.0459, -884093, -274467, -274467, -609626, -477675, 0.67
-0.046, -883835, -274316, -274316, -609518, -477489, 0.67
-0.0461, -883578, -274167, -274167, -609410, -477304, 0.67
-0.0462, -883321, -274019, -274019, -609303, -477119, 0.67
-0.0463, -883065, -273871, -273871, -609195, -476936, 0.67
-0.0464, -882810, -273724, -273724, -609087, -476753, 0.67
-0.0465, -882556, -273577, -273577, -608979, -476570, 0.67
-0.0466, -882303, -273432, -273432, -608871, -476389, 0.67
-0.0467, -882051, -273287, -273287, -608763, -476208, 0.67
-0.0468, -881799, -273143, -273143, -608656, -476029, 0.67
-0.0469, -881548, -273000, -273000, -608548, -475849, 0.67
-0.047, -881298, -272858, -272858, -608440, -475671, 0.67
-0.0471, -881049, -272716, -272716, -608333, -475494, 0.67
-0.0472, -880800, -272575, -272575, -608225, -475317, 0.67
-0.0473, -880552, -272435, -272435, -608118, -475141, 0.67
-0.0474, -880305, -272295, -272295, -608010, -474965, 0.67
-0.0475, -880059, -272157, -272157, -607903, -474791, 0.67
-0.0476, -879814, -272018, -272018, -607795, -474617, 0.67
-0.0477, -879569, -271881, -271881, -607688, -474444, 0.67
-0.0478, -879325, -271744, -271744, -607580, -474271, 0.67
-0.0479, -879081, -271608, -271608, -607473, -474099, 0.67
-0.048, -878839, -271473, -271473, -607366, -473928, 0.67
-0.0481, -878597, -271338, -271338, -607259, -473758, 0.67
-0.0482, -878356, -271205, -271205, -607151, -473588, 0.67
-0.0483, -878116, -271071, -271071, -607044, -473419, 0.67
-0.0484, -877876, -270939, -270939, -606937, -473251, 0.67
-0.0485, -877637, -270807, -270807, -606830, -473084, 0.67
-0.0486, -877399, -270676, -270676, -606723, -472917, 0.67
-0.0487, -877161, -270545, -270545, -606616, -472750, 0.67
-0.0488, -876924, -270415, -270415, -606509, -472585, 0.67
-0.0489, -876688, -270286, -270286, -606402, -472420, 0.67
-0.049, -876453, -270157, -270157, -606295, -472256, 0.67
-0.0491, -876218, -270029, -270029, -606189, -472092, 0.67
-0.0492, -875984, -269902, -269902, -606082, -471929, 0.67
-0.0493, -875750, -269775, -269775, -605975, -471767, 0.67
-0.0494, -875517, -269649, -269649, -605869, -471605, 0.67
-0.0495, -875285, -269523, -269523, -605762, -471444, 0.67
-0.0496, -875054, -269398, -269398, -605655, -471283, 0.67
-0.0497, -874823, -269274, -269274, -605549, -471124, 0.67
-0.0498, -874593, -269150, -269150, -605442, -470964, 0.67
-0.0499, -874363, -269027, -269027, -605336, -470806, 0.67
-0.05, -874134, -268905, -268905, -605230, -470648, 0.67
-0.0501, -873906, -268783, -268783, -605123, -470490, 0.67
-0.0502, -873678, -268661, -268661, -605017, -470334, 0.67
-0.0503, -873451, -268541, -268541, -604911, -470177, 0.67
-0.0504, -873225, -268420, -268420, -604805, -470022, 0.67
-0.0505, -872999, -268301, -268301, -604698, -469867, 0.67
-0.0506, -872774, -268182, -268182, -604592, -469713, 0.67
-0.0507, -872550, -268063, -268063, -604486, -469559, 0.67
-0.0508, -872326, -267945, -267945, -604380, -469405, 0.67
-0.0509, -872102, -267828, -267828, -604274, -469253, 0.67
-0.051, -871880, -267711, -267711, -604168, -469101, 0.67
-0.0511, -871657, -267595, -267595, -604063, -468949, 0.67
-0.0512, -871436, -267479, -267479, -603957, -468798, 0.67
-0.0513, -871215, -267364, -267364, -603851, -468648, 0.67
-0.0514, -870995, -267249, -267249, -603745, -468498, 0.67
-0.0515, -870775, -267135, -267135, -603640, -468348, 0.67
-0.0516, -870556, -267022, -267022, -603534, -468200, 0.67
-0.0517, -870337, -266908, -266908, -603429, -468051, 0.67
-0.0518, -870119, -266796, -266796, -603323, -467904, 0.67
-0.0519, -869901, -266684, -266684, -603218, -467756, 0.67
-0.052, -869685, -266572, -266572, -603112, -467610, 0.67
-0.0521, -869468, -266461, -266461, -603007, -467464, 0.67
-0.0522, -869252, -266351, -266351, -602902, -467318, 0.67
-0.0523, -869037, -266241, -266241, -602796, -467173, 0.67
-0.0524, -868822, -266131, -266131, -602691, -467028, 0.67
-0.0525, -868608, -266022, -266022, -602586, -466884, 0.67
-0.0526, -868395, -265914, -265914, -602481, -466741, 0.67
-0.0527, -868181, -265806, -265806, -602376, -466598, 0.67
-0.0528, -867969, -265698, -265698, -602271, -466455, 0.67
-0.0529, -867757, -265591, -265591, -602166, -466313, 0.67
-0.053, -867545, -265484, -265484, -602061, -466171, 0.67
-0.0531, -867334, -265378, -265378, -601956, -466030, 0.67
-0.0532, -867124, -265273, -265273, -601851, -465890, 0.67
-0.0533, -866914, -265167, -265167, -601747, -465750, 0.67
-0.0534, -866705, -265063, -265063, -601642, -465610, 0.67
-0.0535, -866496, -264958, -264958, -601537, -465471, 0.67
-0.0536, -866287, -264855, -264855, -601433, -465332, 0.67
-0.0537, -866079, -264751, -264751, -601328, -465194, 0.67
-0.0538, -865872, -264648, -264648, -601224, -465056, 0.67
-0.0539, -865665, -264546, -264546, -601119, -464919, 0.67
-0.054, -865459, -264444, -264444, -601015, -464782, 0.67
-0.0541, -865253, -264342, -264342, -600911, -464646, 0.67
-0.0542, -865047, -264241, -264241, -600806, -464510, 0.67
-0.0543, -864842, -264140, -264140, -600702, -464374, 0.67
-0.0544, -864638, -264040, -264040, -600598, -464239, 0.67
-0.0545, -864434, -263940, -263940, -600494, -464105, 0.67
-0.0546, -864230, -263840, -263840, -600390, -463970, 0.67
-0.0547, -864027, -263741, -263741, -600286, -463837, 0.67
-0.0548, -863825, -263643, -263643, -600182, -463704, 0.67
-0.0549, -863623, -263545, -263545, -600078, -463571, 0.67
-0.055, -863421, -263447, -263447, -599974, -463438, 0.67
-0.0551, -863220, -263349, -263349, -599871, -463306, 0.67
-0.0552, -863019, -263252, -263252, -599767, -463175, 0.67
-0.0553, -862819, -263156, -263156, -599663, -463044, 0.67
-0.0554, -862619, -263060, -263060, -599560, -462913, 0.67
-0.0555, -862420, -262964, -262964, -599456, -462783, 0.67
-0.0556, -862221, -262868, -262868, -599353, -462653, 0.67
-0.0557, -862023, -262773, -262773, -599249, -462523, 0.67
-0.0558, -861825, -262679, -262679, -599146, -462394, 0.67
-0.0559, -861627, -262585, -262585, -599042, -462265, 0.67
-0.056, -861430, -262491, -262491, -598939, -462137, 0.67
-0.0561, -861233, -262397, -262397, -598836, -462009, 0.67
-0.0562, -861037, -262304, -262304, -598733, -461882, 0.67
-0.0563, -860841, -262211, -262211, -598630, -461755, 0.67
-0.0564, -860646, -262119, -262119, -598527, -461628, 0.67
-0.0565, -860451, -262027, -262027, -598424, -461502, 0.67
-0.0566, -860256, -261935, -261935, -598321, -461376, 0.67
-0.0567, -860062, -261844, -261844, -598218, -461250, 0.67
-0.0568, -859868, -261753, -261753, -598115, -461125, 0.67
-0.0569, -859675, -261663, -261663, -598012, -461000, 0.67
-0.057, -859482, -261573, -261573, -597909, -460876, 0.67
-0.0571, -859289, -261483, -261483, -597807, -460752, 0.67
-0.0572, -859097, -261393, -261393, -597704, -460628, 0.67
-0.0573, -858906, -261304, -261304, -597601, -460505, 0.67
-0.0574, -858714, -261215, -261215, -597499, -460382, 0.67
-0.0575, -858523, -261127, -261127, -597396, -460259, 0.67
-0.0576, -858333, -261039, -261039, -597294, -460137, 0.67
-0.0577, -858143, -260951, -260951, -597192, -460015, 0.67
-0.0578, -857953, -260864, -260864, -597089, -459894, 0.67
-0.0579, -857764, -260777, -260777, -596987, -459772, 0.67
-0.058, -857575, -260690, -260690, -596885, -459652, 0.67
-0.0581, -857386, -260603, -260603, -596783, -459531, 0.67
-0.0582, -857198, -260517, -260517, -596681, -459411, 0.67
-0.0583, -857010, -260432, -260432, -596579, -459291, 0.67
-0.0584, -856823, -260346, -260346, -596477, -459172, 0.67
-0.0585, -856636, -260261, -260261, -596375, -459053, 0.67
-0.0586, -856449, -260176, -260176, -596273, -458934, 0.67
-0.0587, -856263, -260092, -260092, -596171, -458815, 0.67
-0.0588, -856077, -260008, -260008, -596069, -458697, 0.67
-0.0589, -855891, -259924, -259924, -595968, -458580, 0.67
-0.059, -855706, -259840, -259840, -595866, -458462, 0.67
-0.0591, -855521, -259757, -259757, -595765, -458345, 0.67
-0.0592, -855337, -259674, -259674, -595663, -458228, 0.67
-0.0593, -855153, -259591, -259591, -595562, -458112, 0.67
-0.0594, -854969, -259509, -259509, -595460, -457996, 0.67
-0.0595, -854786, -259427, -259427, -595359, -457880, 0.67
-0.0596, -854603, -259345, -259345, -595257, -457764, 0.67
-0.0597, -854420, -259264, -259264, -595156, -457649, 0.67
-0.0598, -854237, -259182, -259182, -595055, -457534, 0.67
-0.0599, -854055, -259102, -259102, -594954, -457420, 0.67
-0.06, -853874, -259021, -259021, -594853, -457305, 0.67
-0.0601, -853692, -258941, -258941, -594752, -457191, 0.67
-0.0602, -853511, -258861, -258861, -594651, -457078, 0.67
-0.0603, -853331, -258781, -258781, -594550, -456964, 0.67
-0.0604, -853150, -258701, -258701, -594449, -456851, 0.67
-0.0605, -852970, -258622, -258622, -594348, -456738, 0.67
-0.0606, -852791, -258543, -258543, -594247, -456626, 0.67
-0.0607, -852611, -258465, -258465, -594147, -456514, 0.67
-0.0608, -852432, -258386, -258386, -594046, -456402, 0.67
-0.0609, -852254, -258308, -258308, -593945, -456290, 0.67
-0.061, -852075, -258230, -258230, -593845, -456179, 0.67
-0.0611, -851897, -258153, -258153, -593744, -456068, 0.67
-0.0612, -851720, -258076, -258076, -593644, -455957, 0.67
-0.0613, -851542, -257999, -257999, -593544, -455846, 0.67
-0.0614, -851365, -257922, -257922, -593443, -455736, 0.67
-0.0615, -851188, -257845, -257845, -593343, -455626, 0.67
-0.0616, -851012, -257769, -257769, -593243, -455517, 0.67
-0.0617, -850836, -257693, -257693, -593143, -455407, 0.67
-0.0618, -850660, -257617, -257617, -593043, -455298, 0.67
-0.0619, -850484, -257542, -257542, -592943, -455189, 0.67
-0.062, -850309, -257467, -257467, -592843, -455081, 0.67
-0.0621, -850134, -257392, -257392, -592743, -454973, 0.67
-0.0622, -849960, -257317, -257317, -592643, -454865, 0.67
-0.0623, -849785, -257242, -257242, -592543, -454757, 0.67
-0.0624, -849611, -257168, -257168, -592443, -454649, 0.67
-0.0625, -849438, -257094, -257094, -592343, -454542, 0.67
-0.0626, -849264, -257020, -257020, -592244, -454435, 0.67
-0.0627, -849091, -256947, -256947, -592144, -454328, 0.67
-0.0628, -848918, -256874, -256874, -592045, -454222, 0.67
-0.0629, -848746, -256801, -256801, -591945, -454116, 0.67
-0.063, -848573, -256728, -256728, -591846, -454010, 0.67
-0.0631, -848402, -256655, -256655, -591746, -453904, 0.67
-0.0632, -848230, -256583, -256583, -591647, -453799, 0.67
-0.0633, -848058, -256511, -256511, -591548, -453693, 0.67
-0.0634, -847887, -256439, -256439, -591448, -453588, 0.67
-0.0635, -847716, -256367, -256367, -591349, -453484, 0.67
-0.0636, -847546, -256296, -256296, -591250, -453379, 0.67
-0.0637, -847376, -256225, -256225, -591151, -453275, 0.67
-0.0638, -847206, -256154, -256154, -591052, -453171, 0.67
-0.0639, -847036, -256083, -256083, -590953, -453067, 0.67
-0.064, -846866, -256012, -256012, -590854, -452964, 0.67
-0.0641, -846697, -255942, -255942, -590755, -452860, 0.67
-0.0642, -846528, -255872, -255872, -590656, -452757, 0.67
-0.0643, -846360, -255802, -255802, -590558, -452655, 0.67
-0.0644, -846191, -255732, -255732, -590459, -452552, 0.67
-0.0645, -846023, -255663, -255663, -590360, -452450, 0.67
-0.0646, -845855, -255593, -255593, -590262, -452347, 0.67
-0.0647, -845688, -255524, -255524, -590163, -452246, 0.67
-0.0648, -845520, -255456, -255456, -590065, -452144, 0.67
-0.0649, -845353, -255387, -255387, -589966, -452042, 0.67
-0.065, -845187, -255318, -255318, -589868, -451941, 0.67
-0.0651, -845020, -255250, -255250, -589770, -451840, 0.67
-0.0652, -844854, -255182, -255182, -589671, -451739, 0.67
-0.0653, -844688, -255114, -255114, -589573, -451639, 0.67
-0.0654, -844522, -255047, -255047, -589475, -451538, 0.67
-0.0655, -844356, -254979, -254979, -589377, -451438, 0.67
-0.0656, -844191, -254912, -254912, -589279, -451338, 0.67
-0.0657, -844026, -254845, -254845, -589181, -451239, 0.67
-0.0658, -843861, -254778, -254778, -589083, -451139, 0.67
