strain, s11, s22, s33, q, p, e
-0.0659, -843697, -254712, -254712, -588985, -451040, 0.67
-0.066, -843532, -254645, -254645, -588887, -450941, 0.67
-0.0661, -843368, -254579, -254579, -588790, -450842, 0.67
-0.0662, -843204, -254513, -254513, -588692, -450743, 0.67
-0.0663, -843041, -254447, -254447, -588594, -450645, 0.67
-0.0664, -842878, -254381, -254381, -588496, -450547, 0.67
-0.0665, -842714, -254316, -254316, -588399, -450449, 0.67
-0.0666, -842552, -254250, -254250, -588301, -450351, 0.67
-0.0667, -842389, -254185, -254185, -588204, -450253, 0.67
-0.0668, -842227, -254120, -254120, -588107, -450156, 0.67
-0.0669, -842064, -254055, -254055, -588009, -450058, 0.67
-0.067, -841903, -253991, -253991, -587912, -449961, 0.67
-0.0671, -841741, -253926, -253926, -587815, -449864, 0.67
-0.0672, -841579, -253862, -253862, -587717, -449768, 0.67
-0.0673, -841418, -253798, -253798, -587620, -449671, 0.67
-0.0674, -841257, -253734, -253734, -587523, -449575, 0.67
-0.0675, -841096, -253670, -253670, -587426, -449479, 0.67
-0.0676, -840936, -253607, -253607, -587329, -449383, 0.67
-0.0677, -840776, -253543, -253543, -587232, -449287, 0.67
-0.0678, -840615, -253480, -253480, -587135, -449192, 0.67
-0.0679, -840456, -253417, -253417, -587038, -449097, 0.67
-0.068, -840296, -253354, -253354, -586942, -449001, 0.67
-0.0681, -840136, -253291, -253291, -586845, -448906, 0.67
-0.0682, -839977, -253229, -253229, -586748, -448812, 0.67
-0.0683, -839818, -253166, -253166, -586652, -448717, 0.67
-0.0684, -839659, -253104, -253104, -586555, -448623, 0.67
-0.0685, -839501, -253042, -253042, -586459, -448528, 0.67
-0.0686, -839342, -252980, -252980, -586362, -448434, 0.67
-0.0687, -839184, -252919, -252919, -586266, -448340, 0.67
-0.0688, -839026, -252857, -252857, -586169, -448247, 0.67
-0.0689, -838869, -252796, -252796, -586073, -448153, 0.67
-0.069, -838711, -252734, -252734, -585977, -448060, 0.67
-0.0691, -838554, -252673, -252673, -585881, -447967, 0.67
-0.0692, -838397, -252612, -252612, -585784, -447874, 0.67
-0.0693, -838240, -252551, -252551, -585688, -447781, 0.67
-0.0694, -838083, -252491, -252491, -585592, -447688, 0.67
-0.0695, -837927, -252430, -252430, -585496, -447596, 0.67
-0.0696, -837770, -252370, -252370, -585400, -447503, 0.67
-0.0697, -837614, -252310, -252310, -585304, -447411, 0.67
-0.0698, -837458, -252250, -252250, -585209, -447319, 0.67
-0.0699, -837303, -252190, -252190, -585113, -447227, 0.67
-0.07, -837147, -252130, -252130, -585017, -447136, 0.67
-0.0701, -836992, -252071, -252071, -584921, -447044, 0.67
-0.0702, -836837, -252011, -252011, -584826, -446953, 0.67
-0.0703, -836682, -251952, -251952, -584730, -446862, 0.67
-0.0704, -836527, -251893, -251893, -584635, -446771, 0.67
-0.0705, -836373, -251834, -251834, -584539, -446680, 0.67
-0.0706, -836218, -251775, -251775, -584444, -446589, 0.67
-0.0707, -836064, -251716, -251716, -584348, -446499, 0.67
-0.0708, -835910, -251657, -251657, -584253, -446408, 0.67
-0.0709, -835757, -251599, -251599, -584158, -446318, 0.67
-0.071, -835603, -251541, -251541, -584062, -446228, 0.67
-0.0711, -835450, -251482, -251482, -583967, -446138, 0.67
-0.0712, -835297, -251424, -251424, -583872, -446048, 0.67
-0.0713, -835144, -251367, -251367, -583777, -445959, 0.67
-0.0714, -834991, -251309, -251309, -583682, -445869, 0.67
-0.0715, -834838, -251251, -251251, -583587, -445780, 0.67
-0.0716, -834686, -251194, -251194, -583492, -445691, 0.67
-0.0717, -834534, -251136, -251136, -583397, -445602, 0.67
-0.0718, -834381, -251079, -251079, -583302, -445513, 0.67
-0.0719, -834230, -251022, -251022, -583208, -445424, 0.67
-0.072, -834078, -250965, -250965, -583113, -445336, 0.67
-0.0721, -833926, -250908, -250908, -583018, -445248, 0.67
-0.0722, -833775, -250851, -250851, -582924, -445159, 0.67
-0.0723, -833624, -250795, -250795, -582829, -445071, 0.67
-0.0724, -833473, -250738, -250738, -582735, -444983, 0.67
-0.0725, -833322, -250682, -250682, -582640, -444895, 0.67
-0.0726, -833171, -250626, -250626, -582546, -444808, 0.67
-0.0727, -833021, -250570, -250570, -582451, -444720, 0.67
-0.0728, -832871, -250514, -250514, -582357, -444633, 0.67
-0.0729, -832721, -250458, -250458, -582263, -444545, 0.67
-0.073, -832571, -250402, -250402, -582169, -444458, 0.67
-0.0731, -832421, -250347, -250347, -582074, -444371, 0.67
-0.0732, -832271, -250291, -250291, -581980, -444285, 0.67
-0.0733, -832122, -250236, -250236, -581886, -444198, 0.67
-0.0734, -831973, -250181, -250181, -581792, -444111, 0.67
-0.0735, -831824, -250125, -250125, -581698, -444025, 0.67
-0.0736, -831675, -250070, -250070, -581604, -443938, 0.67
-0.0737, -831526, -250016, -250016, -581510, -443852, 0.67
-0.0738, -831377, -249961, -249961, -581417, -443766, 0.67
-0.0739, -831229, -249906, -249906, -581323, -443680, 0.67
-0.074, -831081, -249852, -249852, -581229, -443595, 0.67
-0.0741, -830933, -249797, -249797, -581135, -443509, 0.67
-0.0742, -830785, -249743, -249743, -581042, -443423, 0.67
-0.0743, -830637, -249689, -249689, -580948, -443338, 0.67
-0.0744, -830489, -249635, -249635, -580855, -443253, 0.67
-0.0745, -830342, -249581, -249581, -580761, -443168, 0.67
-0.0746, -830195, -249527, -249527, -580668, -443083, 0.67
-0.0747, -830048, -249473, -249473, -580575, -442998, 0.67
-0.0748, -829901, -249419, -249419, -580481, -442913, 0.67
-0.0749, -829754, -249366, -249366, -580388, -442828, 0.67
-0.075, -829607, -249312, -249312, -580295, -442744, 0.67
-0.0751, -829461, -249259, -249259, -580202, -442660, 0.67
-0.0752, -829314, -249206, -249206, -580108, -442575, 0.67
-0.0753, -829168, -249153, -249153, -580015, -442491, 0.67
-0.0754, -829022, -249100, -249100, -579922, -442407, 0.67
-0.0755, -828876, -249047, -249047, -579829, -442323, 0.67
-0.0756, -828731, -248994, -248994, -579736, -442240, 0.67
-0.0757, -828585, -248941, -248941, -579644, -442156, 0.67
-0.0758, -828440, -248889, -248889, -579551, -442072, 0.67
-0.0759, -828294, -248836, -248836, -579458, -441989, 0.67
-0.076, -828149, -248784, -248784, -579365, -441906, 0.67
-0.0761, -828004, -248732, -248732, -579273, -441823, 0.67
-0.0762, -827860, -248680, -248680, -579180, -441740, 0.67
-0.0763, -827715, -248628, -248628, -579087, -441657, 0.67
-0.0764, -827570, -248576, -248576, -578995, -441574, 0.67
-0.0765, -827426, -248524, -248524, -578902, -441491, 0.67
-0.0766, -827282, -248472, -248472, -578810, -441409, 0.67
-0.0767, -827138, -248420, -248420, -578717, -441326, 0.67
-0.0768, -826994, -248369, -248369, -578625, -441244, 0.67
-0.0769, -826850, -248317, -248317, -578533, -441161, 0.67
-0.077, -826706, -248266, -248266, -578441, -441079, 0.67
-0.0771, -826563, -248215, -248215, -578348, -440997, 0.67
-0.0772, -826420, -248163, -248163, -578256, -440915, 0.67
-0.0773, -826276, -248112, -248112, -578164, -440834, 0.67
-0.0774, -826133, -248061, -248061, -578072, -440752, 0.67
-0.0775, -825990, -248010, -248010, -577980, -440670, 0.67
-0.0776, -825848, -247960, -247960, -577888, -440589, 0.67
-0.0777, -825705, -247909, -247909, -577796, -440508, 0.67
-0.0778, -825563, -247858, -247858, -577704, -440426, 0.67
-0.0779, -825420, -247808, -247808, -577613, -440345, 0.67
-0.078, -825278, -247757, -247757, -577521, -440264, 0.67
-0.0781, -825136, -247707, -247707, -577429, -440183, 0.67
-0.0782, -824994, -247657, -247657, -577337, -440102, 0.67
-0.0783, -824852, -247606, -247606, -577246, -440022, 0.67
-0.0784, -824710, -247556, -247556, -577154, -439941, 0.67
-0.0785, -824569, -247506, -247506, -577063, -439860, 0.67
-0.0786, -824428, -247456, -247456, -576971, -439780, 0.67
-0.0787, -824286, -247407, -247407, -576880, -439700, 0.67
-0.0788, -824145, -247357, -247357, -576788, -439620, 0.67
-0.0789, -824004, -247307, -247307, -576697, -439539, 0.67
-0.079, -823863, -247258, -247258, -576606, -439459, 0.67
-0.0791, -823723, -247208, -247208, -576515, -439380, 0.67
-0.0792, -823582, -247159, -247159, -576423, -439300, 0.67
-0.0793, -823442, -247109, -247109, -576332, -439220, 0.67
-0.0794, -823301, -247060, -247060, -576241, -439140, 0.67
-0.0795, -823161, -247011, -247011, -576150, -439061, 0.67
-0.0796, -823021, -246962, -246962, -576059, -438982, 0.67
-0.0797, -822881, -246913, -246913, -575968, -438902, 0.67
-0.0798, -822741, -246864, -246864, -575877, -438823, 0.67
-0.0799, -822602, -246815, -246815, -575786, -438744, 0.67
-0.08, -822462, -246766, -246766, -575696, -438665, 0.67
-0.0801, -822323, -246718, -246718, -575605, -438586, 0.67
-0.0802, -822183, -246669, -246669, -575514, -438507, 0.67
-0.0803, -822044, -246621, -246621, -575423, -438429, 0.67
-0.0804, -821905, -246572, -246572, -575333, -438350, 0.67
-0.0805, -821766, -246524, -246524, -575242, -438271, 0.67
-0.0806, -821627, -246476, -246476, -575152, -438193, 0.67
-0.0807, -821489, -246427, -246427, -575061, -438115, 0.67
-0.0808, -821350, -246379, -246379, -574971, -438036, 0.67
-0.0809, -821212, -246331, -246331, -574880, -437958, 0.67
-0.081, -821073, -246283, -246283, -574790, -437880, 0.67
-0.0811, -820935, -246236, -246236, -574700, -437802, 0.67
-0.0812, -820797, -246188, -246188, -574609, -437724, 0.67
-0.0813, -820659, -246140, -246140, -574519, -437646, 0.67
-0.0814, -820521, -246092, -246092, -574429, -437569, 0.67
-0.0815, -820384, -246045, -246045, -574339, -437491, 0.67
-0.0816, -820246, -245997, -245997, -574249, -437414, 0.67
-0.0817, -820109, -245950, -245950, -574159, -437336, 0.67
-0.0818, -819971, -245902, -245902, -574069, -437259, 0.67
-0.0819, -819834, -245855, -245855, -573979, -437182, 0.67
-0.082, -819697, -245808, -245808, -573889, -437104, 0.67
-0.0821, -819560, -245761, -245761, -573799, -437027, 0.67
-0.0822, -819423, -245714, -245714, -573710, -436950, 0.67
-0.0823, -819287, -245667, -245667, -573620, -436873, 0.67
-0.0824, -819150, -245620, -245620, -573530, -436797, 0.67
-0.0825, -819013, -245573, -245573, -573441, -436720, 0.67
-0.0826, -818877, -245526, -245526, -573351, -436643, 0.67
-0.0827, -818741, -245479, -245479, -573261, -436567, 0.67
-0.0828, -818605, -245433, -245433, -573172, -436490, 0.67
-0.0829, -818469, -245386, -245386, -573082, -436414, 0.67
-0.083, -818333, -245340, -245340, -572993, -436337, 0.67
-0.0831, -818197, -245293, -245293, -572904, -436261, 0.67
-0.0832, -818061, -245247, -245247, -572814, -436185, 0.67
-0.0833, -817926, -245201, -245201, -572725, -436109, 0.67
-0.0834, -817790, -245154, -245154, -572636, -436033, 0.67
-0.0835, -817655, -245108, -245108, -572547, -435957, 0.67
-0.0836, -817520, -245062, -245062, -572457, -435881, 0.67
-0.0837, -817384, -245016, -245016, -572368, -435806, 0.67
-0.0838, -817249, -244970, -244970, -572279, -435730, 0.67
-0.0839, -817115, -244924, -244924, -572190, -435654, 0.67
-0.084, -816980, -244878, -244878, -572101, -435579, 0.67
-0.0841, -816845, -244833, -244833, -572012, -435503, 0.67
-0.0842, -816710, -244787, -244787, -571924, -435428, 0.67
-0.0843, -816576, -244741, -244741, -571835, -435353, 0.67
-0.0844, -816442, -244696, -244696, -571746, -435278, 0.67
-0.0845, -816307, -244650, -244650, -571657, -435203, 0.67
-0.0846, -816173, -244605, -244605, -571569, -435128, 0.67
-0.0847, -816039, -244559, -244559, -571480, -435053, 0.67
-0.0848, -815905, -244514, -244514, -571391, -434978, 0.67
-0.0849, -815772, -244469, -244469, -571303, -434903, 0.67
-0.085, -815638, -244423, -244423, -571214, -434828, 0.67
-0.0851, -815504, -244378, -244378, -571126, -434754, 0.67
-0.0852, -815371, -244333, -244333, -571037, -434679, 0.67
-0.0853, -815237, -244288, -244288, -570949, -434605, 0.67
-0.0854, -815104, -244243, -244243, -570861, -434530, 0.67
-0.0855, -814971, -244198, -244198, -570773, -434456, 0.67
-0.0856, -814838, -244153, -244153, -570684, -434382, 0.67
-0.0857, -814705, -244109, -244109, -570596, -434307, 0.67
-0.0858, -814572, -244064, -244064, -570508, -434233, 0.67
-0.0859, -814439, -244019, -244019, -570420, -434159, 0.67
-0.086, -814307, -243975, -243975, -570332, -434085, 0.67
-0.0861, -814174, -243930, -243930, -570244, -434011, 0.67
-0.0862, -814042, -243886, -243886, -570156, -433938, 0.67
-0.0863, -813909, -243841, -243841, -570068, -433864, 0.67
-0.0864, -813777, -243797, -243797, -569980, -433790, 0.67
-0.0865, -813645, -243753, -243753, -569892, -433717, 0.67
-0.0866, -813513, -243708, -243708, -569804, -433643, 0.67
-0.0867, -813381, -243664, -243664, -569717, -433570, 0.67
-0.0868, -813249, -243620, -243620, -569629, -433496, 0.67
-0.0869, -813117, -243576, -243576, -569541, -433423, 0.67
-0.087, -812986, -243532, -243532, -569454, -433350, 0.67
-0.0871, -812854, -243488, -243488, -569366, -433277, 0.67
-0.0872, -812723, -243444, -243444, -569279, -433203, 0.67
-0.0873, -812591, -243400, -243400, -569191, -433130, 0.67
-0.0874, -812460, -243356, -243356, -569104, -433058, 0.67
-0.0875, -812329, -243312, -243312, -569016, -432985, 0.67
-0.0876, -812198, -243269, -243269, -568929, -432912, 0.67
-0.0877, -812067, -243225, -243225, -568842, -432839, 0.67
-0.0878, -811936, -243182, -243182, -568755, -432766, 0.67
-0.0879, -811805, -243138, -243138, -568667, -432694, 0.67
-0.088, -811675, -243094, -243094, -568580, -432621, 0.67
-0.0881, -811544, -243051, -243051, -568493, -432549, 0.67
-0.0882, -811414, -243008, -243008, -568406, -432476, 0.67
-0.0883, -811283, -242964, -242964, -568319, -432404, 0.67
-0.0884, -811153, -242921, -242921, -568232, -432332, 0.67
-0.0885, -811023, -242878, -242878, -568145, -432260, 0.67
-0.0886, -810893, -242835, -242835, -568058, -432187, 0.67
-0.0887, -810763, -242792, -242792, -567971, -432115, 0.67
-0.0888, -810633, -242748, -242748, -567885, -432043, 0.67
-0.0889, -810503, -242705, -242705, -567798, -431971, 0.67
-0.089, -810374, -242662, -242662, -567711, -431899, 0.67
-0.0891, -810244, -242620, -242620, -567624, -431828, 0.67
-0.0892, -810114, -242577, -242577, -567538, -431756, 0.67
-0.0893, -809985, -242534, -242534, -567451, -431684, 0.67
-0.0894, -809856, -242491, -242491, -567365, -431613, 0.67
-0.0895, -809727, -242448, -242448, -567278, -431541, 0.67
-0.0896, -809597, -242406, -242406, -567192, -431470, 0.67
-0.0897, -809468, -242363, -242363, -567105, -431398, 0.67
-0.0898, -809339, -242321, -242321, -567019, -431327, 0.67
-0.0899, -809211, -242278, -242278, -566933, -431256, 0.67
-0.09, -809082, -242236, -242236, -566846, -431184, 0.67
-0.0901, -808953, -242193, -242193, -566760, -431113, 0.67
-0.0902, -808825, -242151, -242151, -566674, -431042, 0.67
-0.0903, -808696, -242108, -242108, -566588, -430971, 0.67
-0.0904, -808568, -242066, -242066, -566502, -430900, 0.67
-0.0905, -808439, -242024, -242024, -566416, -430829, 0.67
-0.0906, -808311, -241982, -241982, -566330, -430758, 0.67
-0.0907, -808183, -241940, -241940, -566244, -430687, 0.67
-0.0908, -808055, -241897, -241897, -566158, -430617, 0.67
-0.0909, -807927, -241855, -241855, -566072, -430546, 0.67
-0.091, -807799, -241813, -241813, -565986, -430475, 0.67
-0.0911, -807672, -241771, -241771, -565900, -430405, 0.67
-0.0912, -807544, -241729, -241729, -565814, -430334, 0.67
-0.0913, -807416, -241688, -241688, -565729, -430264, 0.67
-0.0914, -807289, -241646, -241646, -565643, -430193, 0.67
-0.0915, -807161, -241604, -241604, -565557, -430123, 0.67
-0.0916, -807034, -241562, -241562, -565472, -430053, 0.67
-0.0917, -806907, -241521, -241521, -565386, -429983, 0.67
-0.0918, -806780, -241479, -241479, -565301, -429913, 0.67
-0.0919, -806653, -241437, -241437, -565215, -429842, 0.67
-0.092, -806526, -241396, -241396, -565130, -429772, 0.67
-0.0921, -806399, -241354, -241354, -565044, -429702, 0.67
-0.0922, -806272, -241313, -241313, -564959, -429633, 0.67
-0.0923, -806145, -241271, -241271, -564874, -429563, 0.67
-0.0924, -806019, -241230, -241230, -564789, -429493, 0.67
-0.0925, -805892, -241189, -241189, -564703, -429423, 0.67
-0.0926, -805766, -241147, -241147, -564618, -429354, 0.67
-0.0927, -805639, -241106, -241106, -564533, -429284, 0.67
-0.0928, -805513, -241065, -241065, -564448, -429214, 0.67
-0.0929, -805387, -241024, -241024, -564363, -429145, 0.67
-0.093, -805261, -240983, -240983, -564278, -429075, 0.67
-0.0931, -805135, -240942, -240942, -564193, -429006, 0.67
-0.0932, -805009, -240901, -240901, -564108, -428937, 0.67
-0.0933, -804883, -240860, -240860, -564023, -428867, 0.67
-0.0934, -804757, -240819, -240819, -563939, -428798, 0.67
-0.0935, -804631, -240778, -240778, -563854, -428729, 0.67
-0.0936, -804506, -240737, -240737, -563769, -428660, 0.67
-0.0937, -804380, -240696, -240696, -563684, -428591, 0.67
-0.0938, -804255, -240655, -240655, -563600, -428522, 0.67
-0.0939, -804130, -240614, -240614, -563515, -428453, 0.67
-0.094, -804004, -240574, -240574, -563430, -428384, 0.67
-0.0941, -803879, -240533, -240533, -563346, -428315, 0.67
-0.0942, -803754, -240492, -240492, -563261, -428246, 0.67
-0.0943, -803629, -240452, -240452, -563177, -428178, 0.67
-0.0944, -803504, -240411, -240411, -563093, -428109, 0.67
-0.0945, -803379, -240371, -240371, -563008, -428040, 0.67
-0.0946, -803254, -240330, -240330, -562924, -427972, 0.67
-0.0947, -803130, -240290, -240290, -562840, -427903, 0.67
-0.0948, -803005, -240250, -240250, -562756, -427835, 0.67
-0.0949, -802881, -240209, -240209, -562671, -427766, 0.67
-0.095, -802756, -240169, -240169, -562587, -427698, 0.67
-0.0951, -802632, -240129, -240129, -562503, -427630, 0.67
-0.0952, -802507, -240088, -240088, -562419, -427561, 0.67
-0.0953, -802383, -240048, -240048, -562335, -427493, 0.67
-0.0954, -802259, -240008, -240008, -562251, -427425, 0.67
-0.0955, -802135, -239968, -239968, -562167, -427357, 0.67
-0.0956, -802011, -239928, -239928, -562083, -427289, 0.67
-0.0957, -801887, -239888, -239888, -561999, -427221, 0.67
-0.0958, -801763, -239848, -239848, -561916, -427153, 0.67
-0.0959, -801640, -239808, -239808, -561832, -427085, 0.67
-0.096, -801516, -239768, -239768, -561748, -427017, 0.67
-0.0961, -801392, -239728, -239728, -561664, -426950, 0.67
-0.0962, -801269, -239688, -239688, -561581, -426882, 0.67
-0.0963, -801146, -239648, -239648, -561497, -426814, 0.67
-0.0964, -801022, -239609, -239609, -561414, -426746, 0.67
-0.0965, -800899, -239569, -239569, -561330, -426679, 0.67
-0.0966, -800776, -239529, -239529, -561247, -426611, 0.67
-0.0967, -800653, -239489, -239489, -561163, -426544, 0.67
-0.0968, -800530, -239450, -239450, -561080, -426476, 0.67
-0.0969, -800407, -239410, -239410, -560996, -426409, 0.67
-0.097, -800284, -239371, -239371, -560913, -426342, 0.67
-0.0971, -800161, -239331, -239331, -560830, -426274, 0.67
-0.0972, -800038, -239292, -239292, -560747, -426207, 0.67
-0.0973, -799916, -239252, -239252, -560663, -426140, 0.67
-0.0974, -799793, -239213, -239213, -560580, -426073, 0.67
-0.0975, -799671, -239173, -239173, -560497, -426006, 0.67
-0.0976, -799548, -239134, -239134, -560414, -425939, 0.67
-0.0977, -799426, -239095, -239095, -560331, -425872, 0.67
-0.0978, -799304, -239055, -239055, -560248, -425805, 0.67
-0.0979, -799181, -239016, -239016, -560165, -425738, 0.67
-0.098, -799059, -238977, -238977, -560082, -425671, 0.67
-0.0981, -798937, -238938, -238938, -560000, -425604, 0.67
-0.0982, -798815, -238899, -238899, -559917, -425538, 0.67
-0.0983, -798694, -238860, -238860, -559834, -425471, 0.67
-0.0984, -798572, -238821, -238821, -559751, -425404, 0.67
-0.0985, -798450, -238782, -238782, -559669, -425338, 0.67
-0.0986, -798328, -238743, -238743, -559586, -425271, 0.67
-0.0987, -798207, -238704, -238704, -559503, -425205, 0.67
-0.0988, -798085, -238665, -238665, -559421, -425138, 0.67
-0.0989, -797964, -238626, -238626, -559338, -425072, 0.67
-0.099, -797843, -238587, -238587, -559256, -425005, 0.67
-0.0991, -797721, -238548, -238548, -559173, -424939, 0.67
-0.0992, -797600, -238509, -238509, -559091, -424873, 0.67
-0.0993, -797479, -238470, -238470, -559008, -424807, 0.67
-0.0994, -797358, -238432, -238432, -558926, -424740, 0.67
-0.0995, -797237, -238393, -238393, -558844, -424674, 0.67
-0.0996, -797116, -238354, -238354, -558762, -424608, 0.67
-0.0997, -796995, -238316, -238316, -558679, -424542, 0.67
-0.0998, -796874, -238277, -238277, -558597, -424476, 0.67
-0.0999, -796754, -238238, -238238, -558515, -424410, 0.67
-0.1, -796633, -238200, -238200, -558433, -424344, 0.67
